name,address,latitude,longitude
Facebook,"770 Broadway, New York, NY 10003",40.730701,-73.991531
Amazon,"450 W 33rd St, New York, NY 10001",40.753052,-73.999443
Google,"111 8th Ave, New York, NY 10011",40.798939,-73.024742
Icreon,"597 5th Ave 12th floor, New York, NY 10017",40.82252,-73.80792
IBM,"590 Madison Ave, New York, NY 10022",40.76209,-73.97279
SalesForce,"1095 Avenue of the Americas, 6th Ave, New York, NY 10036",40.754749,-73.985008
Dataminr,"6 E 32nd St Floor 2, New York, NY 10016",40.74648,-73.98505
ThoughtWorks,"99 Madison Ave 15th Floor, New York, NY 10016",40.74387,-73.98609
Slack,"436 Lafayette St, New York, NY 10003",40.72934,-73.99213
Adobe,"1540 Broadway, New York, NY 10036",40.758072,-73.984848
Square,"375 W Broadway, New York, NY 10012",40.723419,-74.002258
Twitter,"249 W 17th St, New York, NY 10011",40.74153,-73.99989
TransferWise,"19 W 24th Street, New York, NY 10010",40.74303,-73.99045
MongoDB,"1633 Broadway 38th floor, New York, NY 10019",40.61087,-73.64399
Enigma Technologies,"245 5th Ave, New York, NY 10016",40.74445,-73.987259
Squarespace,"8 Clarkson St, New York, NY 10014",40.729622,-74.008377
